file_path,predicted_label
Data/Data/Wrist/train/fractured/image (176).png,0
Data/Data/Wrist/train/fractured/image (80).png,0
Data/Data/Wrist/train/fractured/image (410).png,0
Data/Data/Wrist/train/fractured/image (305).png,0
Data/Data/Wrist/train/fractured/image (429).png,0
Data/Data/Wrist/train/fractured/image (339).png,0
Data/Data/Wrist/train/fractured/image (340).png,0
Data/Data/Wrist/train/fractured/image (414).png,0
Data/Data/Wrist/train/fractured/image (28).png,0
Data/Data/Wrist/train/fractured/image (44).png,0
Data/Data/Wrist/train/fractured/image (17).png,0
Data/Data/Wrist/train/fractured/image (136).png,0
Data/Data/Wrist/train/fractured/image (21).png,0
Data/Data/Wrist/train/fractured/image (279).png,0
Data/Data/Wrist/train/fractured/image (219).png,0
Data/Data/Wrist/train/fractured/image (129).png,0
Data/Data/Wrist/train/fractured/image (385).png,0
Data/Data/Wrist/train/fractured/image (352).png,0
Data/Data/Wrist/train/fractured/image (276).png,0
Data/Data/Wrist/train/fractured/image (239).png,0
Data/Data/Wrist/train/fractured/image (331).png,0
Data/Data/Wrist/train/fractured/image (460).png,0
Data/Data/Wrist/train/fractured/image (300).png,0
Data/Data/Wrist/train/fractured/image (366).png,0
Data/Data/Wrist/train/fractured/image (147).png,0
Data/Data/Wrist/train/fractured/image (87).png,0
Data/Data/Wrist/train/fractured/image (109).png,0
Data/Data/Wrist/train/fractured/image (37).png,0
Data/Data/Wrist/train/fractured/image (396).png,0
Data/Data/Wrist/train/fractured/image (67).png,0
Data/Data/Wrist/train/fractured/image (472).png,0
Data/Data/Wrist/train/fractured/image (360).png,0
Data/Data/Wrist/train/fractured/image (388).png,0
Data/Data/Wrist/train/fractured/image (376).png,0
Data/Data/Wrist/train/fractured/image (369).png,0
Data/Data/Wrist/train/fractured/image (287).png,0
Data/Data/Wrist/train/fractured/image (412).png,0
Data/Data/Wrist/train/fractured/image (359).png,0
Data/Data/Wrist/train/fractured/image (208).png,0
Data/Data/Wrist/train/fractured/image (190).png,0
Data/Data/Wrist/train/fractured/image (436).png,0
Data/Data/Wrist/train/fractured/image (450).png,0
Data/Data/Wrist/train/fractured/image (453).png,0
Data/Data/Wrist/train/fractured/image (273).png,0
Data/Data/Wrist/train/fractured/image (312).png,0
Data/Data/Wrist/train/fractured/image (114).png,0
Data/Data/Wrist/train/fractured/image (125).png,0
Data/Data/Wrist/train/fractured/image (64).png,0
Data/Data/Wrist/train/fractured/image (81).png,0
Data/Data/Wrist/train/fractured/image (182).png,0
Data/Data/Wrist/train/fractured/image (449).png,0
Data/Data/Wrist/train/fractured/image (184).png,0
Data/Data/Wrist/train/fractured/image (108).png,0
Data/Data/Wrist/train/fractured/image (370).png,0
Data/Data/Wrist/train/fractured/image (411).png,0
Data/Data/Wrist/train/fractured/image (121).png,0
Data/Data/Wrist/train/fractured/image (53).png,0
Data/Data/Wrist/train/fractured/image (367).png,0
Data/Data/Wrist/train/fractured/image (295).png,0
Data/Data/Wrist/train/fractured/image (440).png,0
Data/Data/Wrist/train/fractured/image (98).png,0
Data/Data/Wrist/train/fractured/image (326).png,0
Data/Data/Wrist/train/fractured/image (101).png,0
Data/Data/Wrist/train/fractured/image (373).png,0
Data/Data/Wrist/train/fractured/image (119).png,0
Data/Data/Wrist/train/fractured/image (237).png,0
Data/Data/Wrist/train/fractured/image (192).png,0
Data/Data/Wrist/train/fractured/image (235).png,0
Data/Data/Wrist/train/fractured/image (135).png,0
Data/Data/Wrist/train/fractured/image (392).png,0
Data/Data/Wrist/train/fractured/image (166).png,0
Data/Data/Wrist/train/fractured/image (105).png,0
Data/Data/Wrist/train/fractured/image (298).png,0
Data/Data/Wrist/train/fractured/image (131).png,0
Data/Data/Wrist/train/fractured/image (157).png,0
Data/Data/Wrist/train/fractured/image (371).png,0
Data/Data/Wrist/train/fractured/image (216).png,0
Data/Data/Wrist/train/fractured/image (238).png,0
Data/Data/Wrist/train/fractured/image (334).png,0
Data/Data/Wrist/train/fractured/image (25).png,0
Data/Data/Wrist/train/fractured/image (82).png,0
Data/Data/Wrist/train/fractured/image (465).png,0
Data/Data/Wrist/train/fractured/image (444).png,0
Data/Data/Wrist/train/fractured/image (233).png,0
Data/Data/Wrist/train/fractured/image (24).png,0
Data/Data/Wrist/train/fractured/image (434).png,0
Data/Data/Wrist/train/fractured/image (277).png,0
Data/Data/Wrist/train/fractured/image (443).png,0
Data/Data/Wrist/train/fractured/image (364).png,0
Data/Data/Wrist/train/fractured/image (292).png,0
Data/Data/Wrist/train/fractured/image (399).png,0
Data/Data/Wrist/train/fractured/image (200).png,0
Data/Data/Wrist/train/fractured/image (158).png,0
Data/Data/Wrist/train/fractured/image (433).png,0
Data/Data/Wrist/train/fractured/image (169).png,0
Data/Data/Wrist/train/fractured/image (76).png,0
Data/Data/Wrist/train/fractured/image (263).png,0
Data/Data/Wrist/train/fractured/image (264).png,0
Data/Data/Wrist/train/fractured/image (183).png,0
Data/Data/Wrist/train/fractured/image (40).png,0
Data/Data/Wrist/train/fractured/image (198).png,0
Data/Data/Wrist/train/fractured/image (91).png,0
Data/Data/Wrist/train/fractured/image (268).png,0
Data/Data/Wrist/train/fractured/image (236).png,0
Data/Data/Wrist/train/fractured/image (383).png,0
Data/Data/Wrist/train/fractured/image (104).png,0
Data/Data/Wrist/train/fractured/image (46).png,0
Data/Data/Wrist/train/fractured/image (94).png,0
Data/Data/Wrist/train/fractured/image (425).png,0
Data/Data/Wrist/train/fractured/image (95).png,0
Data/Data/Wrist/train/fractured/image (11).png,0
Data/Data/Wrist/train/fractured/image (197).png,0
Data/Data/Wrist/train/fractured/image (347).png,0
Data/Data/Wrist/train/fractured/image (289).png,0
Data/Data/Wrist/train/fractured/image (341).png,0
